Date,Beef,Chicken,Lamb
1971M01,1.34,0.43,0.8
1971M02,1.37,0.43,0.79
1971M03,1.38,0.43,0.78
1971M04,1.4,0.43,0.82
1971M05,1.4,0.44,0.79
1971M06,1.37,0.44,0.76
1971M07,1.35,0.44,0.75
1971M08,1.32,0.44,0.75
1971M09,1.3,0.44,0.79
1971M10,1.31,0.45,0.8
1971M11,1.29,0.45,0.85
1971M12,1.32,0.45,0.88
1972M01,1.39,0.45,0.92
1972M02,1.4,0.46,0.89
1972M03,1.45,0.46,0.92
1972M04,1.5,0.46,0.93
1972M05,1.51,0.47,0.98
1972M06,1.54,0.47,1.23
1972M07,1.51,0.47,1.15
1972M08,1.49,0.48,1.22
1972M09,1.46,0.48,1.2
1972M10,1.47,0.48,1.11
1972M11,1.48,0.49,1.12
1972M12,1.57,0.5,1.14
1973M01,1.7,0.5,1.17
1973M02,1.87,0.51,1.18
1973M03,1.98,0.51,1.23
1973M04,1.85,0.52,1.27
1973M05,1.85,0.53,1.24
1973M06,1.8,0.54,1.29
1973M07,1.96,0.55,1.44
1973M08,2.46,0.54,1.47
1973M09,2.26,0.53,1.56
1973M10,2.18,0.54,1.6
1973M11,2.14,0.54,1.61
1973M12,2.07,0.55,1.62
1974M01,2.04,0.55,1.6
1974M02,1.98,0.55,1.46
1974M03,1.74,0.55,1.45
1974M04,1.62,0.55,1.45
1974M05,1.54,0.55,1.42
1974M06,1.45,0.55,1.39
1974M07,1.64,0.56,1.31
1974M08,1.61,0.56,1.3
1974M09,1.4,0.57,1.35
1974M10,1.39,0.57,1.43
1974M11,1.32,0.57,1.44
1974M12,1.26,0.57,1.48
1975M01,1.15,0.57,1.54
1975M02,1.15,0.57,1.46
1975M03,1.14,0.57,1.57
1975M04,1.28,0.58,1.58
1975M05,1.37,0.58,1.52
1975M06,1.33,0.58,1.53
1975M07,1.35,0.58,1.44
1975M08,1.3,0.59,1.35
1975M09,1.42,0.59,1.39
1975M10,1.53,0.59,1.41
1975M11,1.47,0.59,1.45
1975M12,1.44,0.59,1.49
1976M01,1.49,0.59,1.46
1976M02,1.59,0.59,1.36
1976M03,1.71,0.6,1.52
1976M04,1.81,0.6,1.49
1976M05,1.78,0.61,1.56
1976M06,1.6,0.61,1.53
1976M07,1.53,0.62,1.55
1976M08,1.58,0.62,1.61
